i	j	x	r	mach	theta	press	temp
94	45	2.05444	0.583682	2.44305	11.5692	18.0002	2542.59
95	45	2.1201	0.568971	2.47614	11.1513	17.0045	2512.01
96	45	2.1877	0.553725	2.50966	10.7333	16.051	2481.38
97	45	2.25978	0.537349	2.54556	10.2791	15.088	2448.96
98	45	2.33473	0.52017	2.58236	9.81739	14.1598	2416.12
99	45	2.41443	0.50172	2.62148	9.32253	13.2352	2381.68
100	45	2.49794	0.48217	2.66191	8.81437	12.3423	2346.58
101	45	2.58672	0.461121	2.7047	8.27445	11.4626	2309.98
102	45	2.68033	0.438614	2.74919	7.71642	10.6143	2272.53
103	45	2.78001	0.414275	2.79616	7.12666	9.78679	2233.65
104	45	2.88572	0.388026	2.84522	6.5144	8.99178	2193.77
105	45	2.99861	0.359474	2.89697	5.86909	8.22346	2152.51
106	45	3.119	0.328413	2.95119	5.19666	7.48974	2110.16
107	45	3.24808	0.294384	3.00838	4.4881	6.78767	2066.47
108	45	3.38653	0.257026	3.06838	3.74606	6.12285	2021.67
109	45	3.53569	0.21575	3.13157	2.96048	5.49446	1975.66
110	45	3.69661	0.169973	3.19764	2.12693	4.90786	1928.8
111	45	3.8708	0.11886	3.26616	1.21769	4.36735	1881.55
112	45	4.05924	0.0613632	3.33188	0.140651	3.90651	1837.47
113	45	4.12219	0.0417427	3.35105	0.0535388	3.78181	1824.84

0	46	0.280672	1.04949	1.69678	17.3493	61.9108	3306.23
1	46	0.289567	1.04648	1.69902	17.3647	61.6955	3303.78
2	46	0.299036	1.04328	1.70146	17.3796	61.4621	3301.12
3	46	0.308729	1.04002	1.70401	17.3935	61.2193	3298.34
4	46	0.318642	1.0367	1.70666	17.4063	60.9675	3295.45
5	46	0.328774	1.03333	1.70941	17.4181	60.7067	3292.45
6	46	0.339123	1.0299	1.71227	17.4289	60.4374	3289.34
7	46	0.349686	1.02641	1.71522	17.4389	60.1598	3286.12
8	46	0.360462	1.02287	1.71827	17.4479	59.874	3282.8
9	46	0.371447	1.01928	1.72142	17.4561	59.5803	3279.37
10	46	0.382641	1.01564	1.72467	17.4634	59.279	3275.83
11	46	0.39404	1.01195	1.72801	17.4698	58.9701	3272.2
12	46	0.405643	1.00822	1.73145	17.4754	58.654	3268.46
13	46	0.417448	1.00444	1.73498	17.4802	58.3307	3264.62
14	46	0.429452	1.00061	1.7386	17.4841	58.0003	3260.68
15	46	0.441653	0.996744	1.74232	17.4872	57.6631	3256.64
16	46	0.454051	0.992836	1.74613	17.4894	57.3191	3252.5
17	46	0.466643	0.988889	1.75003	17.4906	56.9683	3248.26
18	46	0.479428	0.984904	1.75403	17.4909	56.6109	3243.92
19	46	0.492405	0.980882	1.75813	17.4902	56.2469	3239.47
20	46	0.505572	0.976824	1.76232	17.4885	55.8763	3234.92
21	46	0.518929	0.972731	1.76662	17.4857	55.4992	3230.27
22	46	0.532475	0.968604	1.77101	17.4817	55.1155	3225.51
23	46	0.54621	0.964445	1.7755	17.4765	54.7253	3220.64
24	46	0.560132	0.960253	1.7801	17.4701	54.3286	3215.66
25	46	0.574241	0.956031	1.7848	17.4623	53.9254	3210.57
26	46	0.588538	0.951778	1.78961	17.4531	53.5157	3205.37
27	46	0.603022	0.947496	1.79453	17.4425	53.0995	3200.05
28	46	0.617692	0.943185	1.79956	17.4303	52.6768	3194.62
29	46	0.632549	0.938846	1.8047	17.4165	52.2476	3189.07
30	46	0.647593	0.934479	1.80995	17.4011	51.812	3183.4
31	46	0.662823	0.930086	1.81533	17.3839	51.37	3177.61
32	46	0.67824	0.925667	1.82082	17.3649	50.9217	3171.69
33	46	0.693842	0.921222	1.82643	17.344	50.4671	3165.65
34	46	0.709631	0.916753	1.83216	17.3212	50.0064	3159.48
35	46	0.725605	0.912259	1.83801	17.2964	49.5396	3153.19
36	46	0.741764	0.907742	1.84399	17.2696	49.0669	3146.77
37	46	0.758107	0.903203	1.85009	17.2408	48.5884	3140.22
38	46	0.774633	0.898641	1.85632	17.2097	48.1042	3133.54
39	46	0.791342	0.894057	1.86267	17.1765	47.6146	3126.73
40	46	0.807786	0.889575	1.86869	17.1519	47.1553	3120.3
41	46	0.823529	0.885311	1.874	17.1431	46.7528	3114.61
42	46	0.839409	0.881038	1.8795	17.1297	46.339	3108.73
43	46	0.855143	0.876831	1.88489	17.1189	45.9369	3102.98
44	46	0.871297	0.87254	1.89067	17.0998	45.5091	3096.81
45	46	0.88727	0.868323	1.89628	17.0849	45.0976	3090.84
