Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Minimum Length Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	PTotal/PExit = 15.9542
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1.5
Downstream Radius/R*:	0.8

Thermodynamic Inputs
Total Pressure (psia):	290.076
Total Temperature (R):	4591.26
Gamma:	1.27
Molecular Weight:	21.65
Ambient Pressure (psia):	15.9542

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	141
Maximum allowable angle between characteristics along wall (deg):	1
Number of RRCs to calculate above KERNEL (50-100):	15

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
94	3.59135	1.64035	2.51182	7.69195	15.9915	2479.42	0.000404506	1.27
95	3.62529	1.66085	2.51291	7.64996	15.9613	2478.43	0.000403904	1.27
96	3.65926	1.68132	2.51399	7.60875	15.9316	2477.45	0.000403314	1.27
97	3.69326	1.70176	2.51506	7.56829	15.9025	2476.48	0.000402733	1.27
98	3.76136	1.7426	2.51713	7.4895	15.8458	2474.6	0.000401602	1.27
99	3.82956	1.78333	2.51914	7.41347	15.791	2472.78	0.000400508	1.27
100	3.89785	1.82397	2.52109	7.34002	15.7381	2471.02	0.000399451	1.27
101	3.96623	1.86451	2.52298	7.26902	15.6869	2469.31	0.000398427	1.27
102	4.0347	1.90497	2.52481	7.20031	15.6374	2467.65	0.000397436	1.27
103	4.10325	1.94533	2.5266	7.13379	15.5894	2466.03	0.000396475	1.27
104	4.12219	1.95646	2.52708	7.11579	15.5764	2465.6	0.000396215	1.27


Calculated wall contour
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Density(slug/ft3)	Gamma	Mass Flow (lbm)	%Dif in Mdot
0	0	1	1.13196	0	136.959	3914.19	0.0021945	1.27	5.91048	0
1	0.000100171	1	1.13216	0.00717419	136.925	3913.98	0.00219408	1.27	5.93005	0.331257
2	0.0004008	1	1.13276	0.0287052	136.824	3913.36	0.00219279	1.27	5.93106	0.3483
3	0.000902314	1	1.13378	0.0646235	136.654	3912.33	0.00219065	1.27	5.93182	0.361195
4	0.00160546	1	1.1352	0.114983	136.416	3910.88	0.00218765	1.27	5.93237	0.370408
5	0.00251132	1	1.13703	0.17986	136.109	3909.01	0.00218377	1.27	5.93272	0.376416
6	0.0036213	1.00001	1.13929	0.259357	135.732	3906.7	0.002179	1.27	5.93292	0.379682
7	0.00493714	1.00002	1.14197	0.353599	135.284	3903.96	0.00217334	1.27	5.93298	0.380686
8	0.00646094	1.00003	1.14509	0.462736	134.764	3900.76	0.00216676	1.27	5.93293	0.379878
9	0.00819515	1.00004	1.14865	0.586945	134.171	3897.11	0.00215925	1.27	5.9328	0.377709
10	0.0101426	1.00006	1.15268	0.726428	133.503	3892.98	0.00215078	1.27	5.93262	0.374622
11	0.0123064	1.00009	1.15717	0.881417	132.76	3888.36	0.00214135	1.27	5.93241	0.371061
12	0.0146902	1.00013	1.16214	1.05217	131.939	3883.24	0.00213092	1.27	5.9322	0.367633
13	0.017298	1.00019	1.16762	1.23897	131.04	3877.59	0.00211947	1.27	5.93208	0.365528
14	0.0201341	1.00025	1.1736	1.44215	130.06	3871.41	0.00210698	1.27	5.93202	0.36457
15	0.0232032	1.00034	1.18011	1.66204	128.998	3864.67	0.00209342	1.27	5.93203	0.364652
16	0.0265106	1.00044	1.18717	1.89903	127.852	3857.35	0.00207877	1.27	5.93202	0.364424
17	0.0300619	1.00057	1.19478	2.15353	126.622	3849.42	0.002063	1.27	5.93202	0.364455
18	0.0338631	1.00072	1.20298	2.42599	125.305	3840.88	0.00204609	1.27	5.932	0.364233
19	0.0379208	1.0009	1.21179	2.71689	123.9	3831.68	0.002028	1.27	5.932	0.364195
20	0.0422418	1.00112	1.22121	3.02676	122.405	3821.81	0.00200871	1.27	5.93199	0.363968
21	0.0468337	1.00137	1.23128	3.35613	120.82	3811.23	0.00198821	1.27	5.93198	0.36387
22	0.0517041	1.00167	1.24201	3.70562	119.144	3799.93	0.00196645	1.27	5.93197	0.363629
23	0.0568615	1.00202	1.25343	4.07584	117.375	3787.86	0.00194343	1.27	5.93196	0.363477
24	0.0623147	1.00243	1.26557	4.46749	115.513	3775.01	0.00191911	1.27	5.93194	0.363215
25	0.0680728	1.0029	1.27845	4.88126	113.557	3761.33	0.00189348	1.27	5.93193	0.363015
26	0.0741456	1.00344	1.2921	5.31792	111.507	3746.79	0.00186651	1.27	5.93192	0.36273
27	0.0805432	1.00406	1.30655	5.77827	109.362	3731.35	0.00183819	1.27	5.9319	0.362486
28	0.0872764	1.00477	1.32183	6.26318	107.124	3714.98	0.00180849	1.27	5.93188	0.362177
29	0.0943562	1.00558	1.33798	6.77353	104.792	3697.64	0.00177742	1.27	5.93187	0.361897
30	0.101794	1.0065	1.35502	7.31029	102.367	3679.28	0.00174495	1.27	5.93185	0.361569
31	0.109603	1.00754	1.373	7.87448	99.8496	3659.85	0.00171108	1.27	5.93183	0.361264
32	0.117794	1.00872	1.39196	8.46716	97.2421	3639.32	0.00167579	1.27	5.93181	0.360928
33	0.126381	1.01005	1.41194	9.08946	94.5459	3617.63	0.0016391	1.27	5.93179	0.360616
34	0.135378	1.01154	1.433	9.74261	91.7634	3594.73	0.001601	1.27	5.93177	0.360293
35	0.144798	1.01321	1.45517	10.4279	88.8971	3570.56	0.00156149	1.27	5.93175	0.360005
36	0.154657	1.01509	1.47853	11.1467	85.9502	3545.06	0.00152058	1.27	5.93174	0.359733
37	0.164969	1.01719	1.50312	11.9004	82.9262	3518.17	0.0014783	1.27	5.93173	0.35952
38	0.17575	1.01954	1.52902	12.6907	79.8293	3489.82	0.00143465	1.27	5.93172	0.359363
39	0.187016	1.02217	1.5563	13.5192	76.6642	3459.93	0.00138967	1.27	5.93171	0.35931
40	0.198786	1.02509	1.58505	14.3877	73.4361	3428.43	0.00134339	1.27	5.93172	0.359377
41	0.211076	1.02835	1.61536	15.2984	70.1507	3395.23	0.00129584	1.27	5.93173	0.359626
42	0.223906	1.03197	1.64733	16.2532	66.8145	3360.24	0.00124706	1.27	5.93176	0.360102
43	0.2306	1.03396	1.66416	16.7532	65.1104	3341.84	0.00122195	1.27	5.93181	0.36095
44	0.236408	1.03573	1.67883	17.1881	63.6552	3325.81	0.00120039	1.27	5.93186	0.361812
45	0.258405	1.04255	1.68779	17.2734	62.7789	3316.03	0.00118736	1.27	5.9319	0.362526
46	0.280672	1.04949	1.69678	17.3493	61.9108	3306.23	0.00117441	1.27	5.93205	0.364929
47	0.326039	1.06372	1.71481	17.4746	60.1984	3286.57	0.00114876	1.27	5.93234	0.369944
48	0.372373	1.07835	1.7328	17.5687	58.53	3266.99	0.00112362	1.27	5.93284	0.378426
49	0.419596	1.09334	1.75066	17.6359	56.9123	3247.58	0.00109909	1.27	5.93349	0.389335
50	0.467638	1.10863	1.76834	17.6793	55.3484	3228.4	0.00107524	1.27	5.93422	0.401698
51	0.516447	1.1242	1.78582	17.7012	53.8382	3209.47	0.00105207	1.27	5.93506	0.415991
52	0.565962	1.14001	1.80308	17.7036	52.3823	3190.82	0.0010296	1.27	5.93599	0.431673
53	0.616138	1.15602	1.82012	17.6881	50.9788	3172.45	0.00100782	1.27	5.93697	0.448229
54	0.66694	1.17221	1.83693	17.6558	49.6254	3154.35	0.000986692	1.27	5.93797	0.465192
55	0.718326	1.18854	1.85353	17.6079	48.3205	3136.53	0.000966203	1.27	5.93899	0.4824
56	0.770266	1.205	1.86992	17.5452	47.0615	3118.97	0.000946326	1.27	5.94002	0.499929
57	0.822735	1.22155	1.88611	17.4687	45.8462	3101.67	0.00092703	1.27	5.94108	0.517823
58	0.875708	1.23818	1.90212	17.3791	44.6725	3084.62	0.000908292	1.27	5.94216	0.535989
59	0.929167	1.25486	1.91794	17.2772	43.5385	3067.8	0.000890087	1.27	5.94324	0.55428
60	0.983095	1.27157	1.93358	17.1638	42.4424	3051.22	0.000872395	1.27	5.94432	0.572528
61	1.03747	1.2883	1.94906	17.0396	41.3826	3034.86	0.000855196	1.27	5.94538	0.590567
62	1.0923	1.30504	1.96437	16.9055	40.3576	3018.72	0.000838474	1.27	5.94643	0.608249
63	1.14755	1.32176	1.97952	16.7619	39.3659	3002.8	0.000822206	1.27	5.94744	0.625471
64	1.20322	1.33845	1.99437	16.6141	38.4148	2987.22	0.000806525	1.27	5.94844	0.642334
65	1.25928	1.3551	2.00827	16.4842	37.544	2972.7	0.000792094	1.27	5.94943	0.659095
66	1.3157	1.37173	2.0219	16.3506	36.7075	2958.49	0.000778164	1.27	5.95042	0.675865
67	1.37247	1.38831	2.03547	16.2076	35.892	2944.39	0.00076452	1.27	5.95142	0.692696
68	1.4296	1.40483	2.04897	16.0557	35.0971	2930.41	0.000751156	1.27	5.95242	0.709584
69	1.48707	1.42128	2.06244	15.8941	34.3196	2916.48	0.000738023	1.27	5.95341	0.726472
70	1.5449	1.43766	2.07575	15.728	33.5676	2902.78	0.000725259	1.27	5.95441	0.74329
71	1.60307	1.45394	2.08896	15.5553	32.8356	2889.2	0.000712776	1.27	5.95539	0.759956
72	1.66159	1.47013	2.10215	15.3747	32.12	2875.7	0.000700516	1.27	5.95636	0.776387
73	1.72045	1.48622	2.11512	15.1925	31.4302	2862.46	0.000688644	1.27	5.95732	0.792521
74	1.77966	1.50219	2.12813	15.0014	30.7527	2849.23	0.000676929	1.27	5.95825	0.808314
75	1.83922	1.51805	2.14091	14.8096	30.0999	2836.26	0.000665588	1.27	5.95916	0.823724
76	1.89913	1.53378	2.15368	14.6111	29.4607	2823.35	0.000654432	1.27	5.96005	0.838743
77	1.95939	1.54937	2.16633	14.4094	28.8401	2810.6	0.000643553	1.27	5.96091	0.853357
78	2.01999	1.56483	2.17885	14.2055	28.238	2798.02	0.000632951	1.27	5.96175	0.867572
79	2.08095	1.58014	2.19141	13.9941	27.646	2785.44	0.000622478	1.27	5.96257	0.881389
80	2.14226	1.5953	2.20369	13.7854	27.0781	2773.18	0.000612388	1.27	5.96338	0.895014
81	2.20392	1.6103	2.21606	13.5684	26.5172	2760.87	0.000602378	1.27	5.96418	0.908597
82	2.26594	1.62515	2.22832	13.3496	25.9724	2748.71	0.000592612	1.27	5.96498	0.922243
83	2.32833	1.63982	2.24115	13.1086	25.4139	2736.04	0.000582554	1.27	5.9658	0.936027
84	2.39111	1.6543	2.25347	12.8782	24.8882	2723.9	0.000573045	1.27	5.96662	0.949981
85	2.45426	1.66861	2.26528	12.6586	24.3936	2712.31	0.000564059	1.27	5.96746	0.964097
86	2.51776	1.68275	2.27684	12.4425	23.9189	2701	0.000555399	1.27	5.9683	0.978345
87	2.58161	1.69671	2.28824	12.2269	23.4591	2689.87	0.000546974	1.27	5.96915	0.992667
88	2.64581	1.71049	2.29963	12.0078	23.0084	2678.8	0.000538682	1.27	5.96999	1.007
89	2.71036	1.72409	2.31116	11.7807	22.5607	2667.63	0.000530411	1.27	5.97084	1.02128
90	2.77527	1.73749	2.32295	11.5421	22.1115	2656.25	0.000522077	1.27	5.97168	1.03543
91	2.8406	1.75069	2.33481	11.2982	21.6681	2644.84	0.000513817	1.27	5.97251	1.04949
92	2.90627	1.76366	2.34678	11.0474	21.2296	2633.37	0.000505613	1.27	5.97332	1.06333
93	2.97247	1.77643	2.35861	10.7985	20.8044	2622.07	0.000497621	1.27	5.97414	1.07713
94	3.03896	1.78898	2.36958	10.5713	20.4175	2611.62	0.000490319	1.27	5.97494	1.09063
95	3.10584	1.80132	2.38062	10.3394	20.0352	2601.15	0.000483077	1.27	5.97572	1.10386
96	3.1731	1.81345	2.39177	10.1014	19.656	2590.6	0.000475862	1.27	5.9765	1.11702
97	3.24078	1.82537	2.40264	9.86919	19.293	2580.36	0.000468928	1.27	5.97726	1.1299
98	3.37728	1.84856	2.42366	9.41819	18.6096	2560.65	0.000455799	1.27	5.97306	1.05884
99	3.51532	1.8709	2.44448	8.96396	17.9559	2541.26	0.000443146	1.27	5.96867	0.984653
100	3.65481	1.89235	2.46448	8.52439	17.3489	2522.74	0.000431306	1.27	5.96409	0.907052
101	3.79583	1.91293	2.48427	8.08354	16.7684	2504.56	0.000419902	1.27	5.9593	0.826018
102	3.93828	1.93263	2.50328	7.65717	16.2285	2487.19	0.00040922	1.27	5.95429	0.741285
103	4.08209	1.95142	2.52195	7.23263	15.7146	2470.23	0.000398981	1.27	5.94905	0.652655
104	4.12219	1.95646	2.52708	7.11579	15.5764	2465.6	0.000396215	1.27	5.9535	0.728011


Nozzle Summary
Throat Radius R* (in):	1.000
Nozzle Length/R*:	4.12219
Expansion Ratio:	3.82772
Exit Area (in2):	12.0252
Surface Area (in2):	40.802

Nozzle Exit Plane Data
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	Mass Flow (lbm/s)	Stream Thrust(lbf)
43	4.12219	0	3.39002	0	3.54684	1799.63	7765.75	0.000123541	1.27	0	0
44	4.12219	0.0376664	3.39059	0.531004	3.53743	1799.1	7765.92	0.000124804	1.27	0.000960296	0.247569
45	4.12219	0.0417427	3.35105	0.0535388	3.78181	1824.84	7730.05	0.000131256	1.27	0.00118566	0.305562
46	4.12219	0.0484966	3.32361	0	3.96161	1842.94	7704.71	0.000136007	1.27	0.00162683	0.418795
47	4.12219	0.0649123	3.27713	0	4.28669	1874.1	7660.9	0.0001447	1.27	0.00303582	0.779366
48	4.12219	0.0852887	3.23213	0	4.62769	1904.85	7617.44	0.000152589	1.27	0.00547506	1.40138
49	4.12219	0.107632	3.19562	0	4.92488	1930.22	7581.38	0.000161159	1.27	0.0090818	2.31796
50	4.12219	0.131293	3.16058	0	5.22848	1954.93	7546.1	0.000169361	1.27	0.0140418	3.57416
51	4.12219	0.157045	3.13248	0	5.48589	1975.01	7517.31	0.000175572	1.27	0.0208117	5.28392
52	4.12219	0.183507	3.10838	0	5.71699	1992.41	7492.27	0.000180658	1.27	0.0292667	7.41469
53	4.12219	0.210643	3.08604	0	5.9402	2008.7	7468.75	0.000185745	1.27	0.0395554	10.0027
54	4.12219	0.238447	3.06465	0	6.16219	2024.43	7445.98	0.000191859	1.27	0.0518952	13.1002
55	4.12219	0.267074	3.0459	0	6.36372	2038.32	7425.79	0.000196814	1.27	0.066574	16.7774
56	4.12219	0.296375	3.03087	0	6.5302	2049.55	7409.45	0.000200361	1.27	0.0836445	21.0474
57	4.12219	0.326002	3.01769	0	6.67982	2059.44	7395.02	0.000203615	1.27	0.102996	25.8822
58	4.12219	0.355962	3.00514	0	6.82555	2068.91	7381.17	0.000207539	1.27	0.124778	31.3174
59	4.12219	0.386197	2.99288	0	6.97103	2078.21	7367.56	0.00021102	1.27	0.149086	37.3752
60	4.12219	0.41669	2.98119	0	7.11269	2087.12	7354.49	0.00021397	1.27	0.175966	44.0665
61	4.12219	0.447424	2.96922	0.0253613	7.26073	2096.28	7341.02	0.00021787	1.27	0.205542	51.4205
62	4.12219	0.478415	2.95938	0.0221553	7.38481	2103.84	7329.88	0.000220879	1.27	0.237951	59.4697
63	4.12219	0.509704	2.95253	0	7.47239	2109.12	7322.1	0.000222551	1.27	0.2732	68.2174
64	4.12219	0.541175	2.94521	0.0453679	7.56722	2114.78	7313.74	0.000225039	1.27	0.311219	77.646
65	4.12219	0.572625	2.9311	0.237899	7.75356	2125.75	7297.53	0.0002311	1.27	0.352186	87.7913
66	4.12219	0.60423	2.91841	0.386441	7.92495	2135.65	7282.86	0.00023486	1.27	0.396528	98.7544
67	4.12219	0.635979	2.9075	0.49604	8.07544	2144.21	7270.16	0.000236637	1.27	0.443939	110.466
68	4.12219	0.66757	2.89551	0.661618	8.2442	2153.66	7256.11	0.000242211	1.27	0.494202	122.868
69	4.12219	0.699249	2.88348	0.842477	8.41713	2163.19	7241.92	0.000246835	1.27	0.548071	136.137
70	4.12219	0.731072	2.87191	1.02078	8.58686	2172.39	7228.18	0.000249323	1.27	0.605407	150.244
71	4.12219	0.762804	2.86041	1.19949	8.75897	2181.57	7214.45	0.000253351	1.27	0.665788	165.086
72	4.12219	0.79444	2.84896	1.37878	8.93381	2190.76	7200.68	0.000258649	1.27	0.729576	180.741
73	4.12219	0.826188	2.83791	1.55544	9.10599	2199.67	7187.31	0.000261658	1.27	0.797145	197.302
74	4.12219	0.857938	2.82707	1.73084	9.27798	2208.44	7174.12	0.000264368	1.27	0.868	214.653
75	4.12219	0.889486	2.81614	1.90802	9.45476	2217.32	7160.74	0.000270271	1.27	0.942102	232.775
76	4.12219	0.921123	2.80556	2.08252	9.62925	2225.95	7147.7	0.000273761	1.27	1.0203	251.87
77	4.12219	0.952826	2.79527	2.25446	9.80186	2234.38	7134.97	0.000275322	1.27	1.102	271.805
78	4.12219	0.984259	2.78487	2.42778	9.97967	2242.93	7122	0.000281728	1.27	1.18679	292.466
79	4.12219	1.01577	2.77476	2.59846	10.1555	2251.28	7109.34	0.000285614	1.27	1.27598	314.167
80	4.12219	1.04734	2.76494	2.76645	10.3293	2259.41	7096.97	0.00028708	1.27	1.36888	336.75
81	4.12219	1.07868	2.75503	2.93588	10.5077	2267.65	7084.42	0.000293119	1.27	1.46496	360.078
82	4.12219	1.11004	2.74534	3.10315	10.685	2275.74	7072.09	0.000297336	1.27	1.56551	384.454
83	4.12219	1.14146	2.73592	3.2678	10.8605	2283.63	7060.02	0.000299048	1.27	1.66998	409.756
84	4.12219	1.1727	2.7265	3.43214	11.0387	2291.55	7047.9	0.000304424	1.27	1.77778	435.837
85	4.12219	1.20391	2.71726	3.5946	11.2165	2299.34	7035.94	0.000308864	1.27	1.89002	462.95
86	4.12219	1.23518	2.70824	3.75456	11.3927	2306.97	7024.22	0.000310721	1.27	2.00636	491.026
87	4.12219	1.26629	2.69924	3.91464	11.5713	2314.62	7012.46	0.000315734	1.27	2.12616	519.908
88	4.12219	1.29736	2.69036	4.07331	11.7501	2322.18	7000.81	0.000320322	1.27	2.25044	549.824
89	4.12219	1.32847	2.6817	4.22956	11.9274	2329.58	6989.38	0.000322274	1.27	2.37897	580.734
90	4.12219	1.35944	2.6731	4.38464	12.1059	2336.95	6977.98	0.000326978	1.27	2.51108	612.473
91	4.12219	1.39036	2.66463	4.53802	12.2844	2344.23	6966.7	0.000331593	1.27	2.6477	645.247
92	4.12219	1.42132	2.65635	4.68911	12.4615	2351.38	6955.62	0.00033351	1.27	2.78869	679.035
93	4.12219	1.45215	2.64809	4.84001	12.6404	2358.51	6944.52	0.000338263	1.27	2.93334	713.667
94	4.12219	1.48293	2.63995	4.98967	12.8196	2365.58	6933.52	0.000342827	1.27	3.08264	749.363
95	4.12219	1.51374	2.63197	5.13711	12.9974	2372.52	6922.71	0.000344667	1.27	3.23639	786.085
96	4.12219	1.54443	2.62408	5.28301	13.1759	2379.41	6911.95	0.000349444	1.27	3.39387	823.66
97	4.12219	1.57507	2.6163	5.4271	13.354	2386.21	6901.32	0.000353823	1.27	3.55612	862.322
98	4.12219	1.63632	2.60107	5.71143	13.71	2399.59	6880.34	0.000360678	1.27	3.89436	942.783
99	4.12219	1.6974	2.58621	5.991	14.0662	2412.72	6859.71	0.00036614	1.27	4.24938	1027.08
100	4.12219	1.75822	2.57177	6.26284	14.4209	2425.52	6839.52	0.000375416	1.27	4.62187	1115.33
101	4.12219	1.8189	2.5577	6.53011	14.7754	2438.08	6819.66	0.000382778	1.27	5.01391	1207.99
102	4.12219	1.87946	2.54397	6.79256	15.1293	2450.38	6800.16	0.000387927	1.27	5.42367	1304.65
103	4.12219	1.93979	2.53067	7.04677	15.4803	2462.36	6781.11	0.000396039	1.27	5.85101	1405.27
104	4.12219	1.95646	2.52708	7.11579	15.5764	2465.6	6775.95	0.000396215	1.27	5.97248	1433.83

Exit Mach at wall:	2.52708
Exit Mach at centerline:	3.39002
Massflow (lbm/s):	5.97248
Stream Thrust (lbf):	1433.83
Isp (lbf-s/lbm):	240.073
Ideal Isp (lbf-s/lbm:	213.5
Cfg:	1.12446
% diffence in initial and exit mass flow:	1.04903

All of the MOC data can be found in the file MOC_Grid.out
The Streamlines can be found in SL.out
The centerline data can be found in center.out
