i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
71	0	0.298704	0.584569	1.24189	3.31477	119.163	3800.06	0.0019667	1.96458
72	0	0.307074	0.574482	1.24437	3.29832	118.777	3797.43	0.00196168	1.89481
73	0	0.315526	0.564345	1.24695	3.28075	118.377	3794.72	0.00195648	1.82598
74	0	0.324058	0.554163	1.24961	3.26204	117.965	3791.9	0.00195112	1.75815
75	0	0.33267	0.543939	1.25237	3.2422	117.539	3788.99	0.00194557	1.69134
76	0	0.34136	0.533677	1.25523	3.22121	117.098	3785.96	0.00193982	1.62561
77	0	0.350126	0.523379	1.25819	3.19906	116.643	3782.83	0.00193387	1.56098
78	0	0.358967	0.513051	1.26127	3.17572	116.171	3779.57	0.00192772	1.4975
79	0	0.367882	0.502695	1.26445	3.15118	115.684	3776.19	0.00192134	1.4352
80	0	0.376868	0.492316	1.26776	3.12542	115.18	3772.69	0.00191475	1.37412
81	0	0.385924	0.481917	1.27118	3.0984	114.659	3769.06	0.00190793	1.31428
82	0	0.39505	0.471502	1.27472	3.0701	114.121	3765.29	0.00190088	1.25572
83	0	0.404242	0.461074	1.27839	3.04051	113.566	3761.39	0.00189359	1.19846
84	0	0.413499	0.450638	1.28219	3.00959	112.993	3757.35	0.00188607	1.14253
85	0	0.42282	0.440198	1.28611	2.97733	112.403	3753.17	0.00187831	1.08795
86	0	0.432202	0.429757	1.29017	2.9437	111.796	3748.85	0.00187032	1.03475
87	0	0.441643	0.419319	1.29435	2.9087	111.171	3744.39	0.00186208	0.982939
88	0	0.451141	0.408889	1.29867	2.8723	110.529	3739.78	0.00185361	0.932539
89	0	0.460693	0.39847	1.30311	2.8345	109.871	3735.03	0.00184491	0.883566
90	0	0.470298	0.388067	1.30768	2.79529	109.196	3730.14	0.00183598	0.836033
91	0	0.479952	0.377683	1.31239	2.75466	108.504	3725.1	0.00182682	0.78995
92	0	0.489652	0.367323	1.31722	2.71262	107.797	3719.93	0.00181744	0.745327
93	0	0.499396	0.356991	1.32217	2.66917	107.075	3714.62	0.00180784	0.702169
94	0	0.50918	0.34669	1.32724	2.62432	106.338	3709.17	0.00179804	0.660481
95	0	0.519001	0.336426	1.33244	2.57808	105.588	3703.59	0.00178804	0.620265
96	0	0.528855	0.326202	1.33775	2.53046	104.824	3697.88	0.00177785	0.581521
97	0	0.538737	0.316023	1.34317	2.48148	104.048	3692.04	0.00176748	0.544246
98	0	0.548645	0.305893	1.3487	2.43117	103.261	3686.08	0.00175694	0.508436
99	0	0.558573	0.295817	1.35434	2.37954	102.463	3680.01	0.00174624	0.474083
100	0	0.568518	0.285799	1.36007	2.32662	101.655	3673.82	0.00173539	0.441179
101	0	0.578473	0.275842	1.3659	2.27244	100.839	3667.53	0.00172441	0.409712
102	0	0.588434	0.265953	1.37181	2.21705	100.015	3661.14	0.00171331	0.379668
103	0	0.598396	0.256136	1.37781	2.16046	99.1843	3654.65	0.00170209	0.351032
104	0	0.608353	0.246394	1.38388	2.10273	98.3482	3648.08	0.00169079	0.323787
105	0	0.618298	0.236733	1.39001	2.04389	97.5076	3641.43	0.0016794	0.297912
106	0	0.628227	0.227158	1.39621	1.98399	96.6638	3634.71	0.00166794	0.273386
107	0	0.638131	0.217673	1.40247	1.92307	95.8179	3627.92	0.00165644	0.250187
108	0	0.648005	0.208284	1.40877	1.8612	94.9709	3621.08	0.0016449	0.228287
109	0	0.657842	0.198995	1.41511	1.79841	94.1241	3614.19	0.00163334	0.207661
110	0	0.667634	0.189811	1.42148	1.73477	93.2786	3607.27	0.00162177	0.18828
111	0	0.677373	0.180738	1.42787	1.67033	92.4356	3600.31	0.00161022	0.170114
112	0	0.687051	0.17178	1.43428	1.60517	91.5963	3593.34	0.0015987	0.15313
113	0	0.696661	0.162944	1.44069	1.53936	90.7619	3586.35	0.00158722	0.137296
114	0	0.706193	0.154235	1.4471	1.47295	89.9334	3579.37	0.0015758	0.122577
115	0	0.715639	0.145657	1.45349	1.40604	89.1121	3572.39	0.00156446	0.108938
116	0	0.72499	0.137219	1.45986	1.33871	88.2992	3565.44	0.00155321	0.0963415
117	0	0.734236	0.128924	1.4662	1.27104	87.4957	3558.52	0.00154207	0.0847499
118	0	0.743367	0.120779	1.4725	1.20314	86.7029	3551.64	0.00153106	0.0741244
119	0	0.752372	0.112792	1.47875	1.13511	85.9218	3544.81	0.00152019	0.0644254
120	0	0.761242	0.104968	1.48494	1.06704	85.1536	3538.05	0.00150948	0.0556123
121	0	0.769965	0.0973143	1.49105	0.999079	84.3994	3531.36	0.00149894	0.0476443
122	0	0.778528	0.0898384	1.49709	0.931336	83.6604	3524.77	0.00148859	0.0404795
123	0	0.782725	0.0825479	1.49987	0.85898	83.3209	3521.72	0.00148384	0.0341265
124	0	0.783236	0.075451	1.49993	0.78424	83.3142	3521.66	0.00148374	0.028508
125	0	0.783484	0.0685561	1.49982	0.711654	83.3269	3521.78	0.00148392	0.0235356
126	0	0.783962	0.0618726	1.49993	0.641777	83.3139	3521.66	0.00148374	0.0191683
127	0	0.784193	0.0554104	1.49988	0.57421	83.3194	3521.71	0.00148381	0.0153729
128	0	0.784415	0.0491802	1.49986	0.509254	83.3219	3521.73	0.00148385	0.0121099
129	0	0.784628	0.0431939	1.49986	0.446987	83.3217	3521.73	0.00148385	0.0093409
130	0	0.784832	0.0374645	1.49989	0.387509	83.3191	3521.71	0.00148381	0.00702696
131	0	0.785025	0.0320069	1.49992	0.330939	83.3146	3521.67	0.00148375	0.00512856
132	0	0.785208	0.0268379	1.49997	0.277422	83.3084	3521.61	0.00148366	0.00360565
133	0	0.785293	0.0219768	1.49997	0.227111	83.3088	3521.61	0.00148367	0.00241776
134	0	0.785373	0.0174471	1.49998	0.180266	83.3077	3521.6	0.00148365	0.00152377
135	0	0.785446	0.013277	1.5	0.137165	83.3054	3521.58	0.00148362	0.00088241
136	0	0.78548	0.00950296	1.5	0.0981656	83.3053	3521.58	0.00148362	0.000452048
137	0	0.785494	0.00617372	1.49999	0.0637702	83.3058	3521.59	0.00148362	0.000190791
138	0	0.785506	0.00336107	1.5	0.0347166	83.3056	3521.58	0.00148362	5.65484e-05
139	0	0.785511	0.00118843	1.5	0.0122752	83.3055	3521.58	0.00148362	7.06988e-06
140	0	0.785514	0	1.5	0	83.3053	3521.58	0.00148362	0

0	1	0.000100171	1	1.13216	0.00717419	136.925	3913.98	0.00219408	5.93005
1	1	0.000250461	0.999717	1.13199	0.0110049	136.953	3914.15	0.00219443	5.92672
2	1	0.00050091	0.999245	1.13171	0.0173625	137	3914.44	0.00219502	5.92116
3	1	0.00085149	0.998583	1.13133	0.0262079	137.065	3914.83	0.00219584	5.91337
4	1	0.00130217	0.997732	1.13083	0.0374873	137.148	3915.33	0.00219688	5.90335
5	1	0.00185294	0.996689	1.13024	0.0511328	137.248	3915.94	0.00219814	5.8911
6	1	0.00250375	0.995455	1.12954	0.0670627	137.365	3916.65	0.00219962	5.8766
7	1	0.0032546	0.994028	1.12875	0.0851822	137.498	3917.46	0.0022013	5.85985
8	1	0.00410546	0.992406	1.12786	0.105384	137.647	3918.36	0.00220318	5.84084
9	1	0.0050563	0.990589	1.12689	0.12755	137.811	3919.35	0.00220524	5.81957
10	1	0.00610712	0.988573	1.12584	0.151551	137.988	3920.42	0.00220748	5.79602
11	1	0.00725791	0.986359	1.12471	0.177249	138.179	3921.57	0.00220987	5.77018
12	1	0.00850864	0.983942	1.12351	0.204495	138.381	3922.79	0.00221242	5.74204
13	1	0.00985933	0.981323	1.12225	0.233137	138.593	3924.07	0.00221509	5.7116
14	1	0.01131	0.978497	1.12094	0.263012	138.815	3925.41	0.00221789	5.67883
15	1	0.0128605	0.975463	1.11957	0.293956	139.045	3926.79	0.00222078	5.64374
16	1	0.0145111	0.972218	1.11817	0.3258	139.282	3928.21	0.00222376	5.60631
17	1	0.0162616	0.96876	1.11674	0.358372	139.525	3929.66	0.00222681	5.56653
18	1	0.0181121	0.965085	1.11528	0.391499	139.772	3931.14	0.00222991	5.52441
19	1	0.0200625	0.961193	1.11381	0.425009	140.021	3932.63	0.00223304	5.47992
20	1	0.022113	0.957079	1.11234	0.458731	140.271	3934.12	0.00223619	5.43308
21	1	0.0242635	0.952741	1.11086	0.492497	140.522	3935.62	0.00223933	5.38388
