i	X	R	MACH	THETA	massflow
116	0.72499	0.137219	1.45986	1.33871	0.0963415
117	0.734236	0.128924	1.4662	1.27104	0.0847499
118	0.743367	0.120779	1.4725	1.20314	0.0741244
119	0.752372	0.112792	1.47875	1.13511	0.0644254
120	0.761242	0.104968	1.48494	1.06704	0.0556123
121	0.769965	0.0973143	1.49105	0.999079	0.0476443
122	0.778528	0.0898384	1.49709	0.931336	0.0404795
123	0.782725	0.0825479	1.49987	0.85898	0.0341265
124	0.783236	0.075451	1.49993	0.78424	0.028508
125	0.783484	0.0685561	1.49982	0.711654	0.0235356
126	0.783962	0.0618726	1.49993	0.641777	0.0191683
127	0.784193	0.0554104	1.49988	0.57421	0.0153729
128	0.784415	0.0491802	1.49986	0.509254	0.0121099
129	0.784628	0.0431939	1.49986	0.446987	0.0093409
130	0.784832	0.0374645	1.49989	0.387509	0.00702696
131	0.785025	0.0320069	1.49992	0.330939	0.00512856
132	0.785208	0.0268379	1.49997	0.277422	0.00360565
133	0.785293	0.0219768	1.49997	0.227111	0.00241776
134	0.785373	0.0174471	1.49998	0.180266	0.00152377
135	0.785446	0.013277	1.5	0.137165	0.00088241
136	0.78548	0.00950296	1.5	0.0981656	0.000452048
137	0.785494	0.00617372	1.49999	0.0637702	0.000190791
138	0.785506	0.00336107	1.5	0.0347166	5.65484e-05
139	0.785511	0.00118843	1.5	0.0122752	7.06988e-06
140	0.785514	0	1.5	0	0
