i	XD	ThetaCalc	ThetaE	xE	rE	Err
27	0.441947	11.5193	22.0773	0.441947	1.00053	0.916546
28	0.456323	11.3912	21.9661	0.456323	0.999015	0.928339
29	0.470976	11.2601	21.8531	0.470976	0.99749	0.940761
30	0.485905	11.1261	21.7389	0.485905	0.995958	0.953868
31	0.501108	10.9892	21.6233	0.501108	0.994419	0.967698
32	0.516583	10.8493	21.5065	0.516583	0.992875	0.982288
33	0.53233	10.7067	21.3888	0.53233	0.991326	0.997707
34	0.548345	10.561	21.2697	0.548345	0.989774	1.01398
35	0.564628	10.4125	21.1499	0.564628	0.988219	1.0312
36	0.581177	10.2611	21.0292	0.581177	0.986663	1.04941
37	0.597992	10.1066	20.9074	0.597992	0.985106	1.06868
38	0.61507	9.94915	20.7848	0.61507	0.98355	1.0891
39	0.632412	9.78856	20.6612	0.632412	0.981994	1.11075
40	0.650017	9.62483	20.5369	0.650017	0.98044	1.13374
41	0.667885	9.45785	20.4116	0.667885	0.978888	1.15816
42	0.686015	9.28754	20.2854	0.686015	0.977339	1.18415
43	0.704408	9.11382	20.1583	0.704408	0.975794	1.21184
44	0.72238	8.95713	20.0531	0.72238	0.97431	1.23879
45	0.739954	8.81222	19.9627	0.739954	0.972888	1.26535
46	0.757887	8.65801	19.8639	0.757887	0.971464	1.29428
47	0.77555	8.51198	19.7756	0.77555	0.97009	1.32326
48	0.793913	8.34977	19.6724	0.793913	0.968689	1.35604
49	0.8121	8.19411	19.5781	0.8121	0.96733	1.38929
50	0.830536	8.0342	19.4816	0.830536	0.965981	1.42483
51	0.843591	7.91729	19.4099	0.843591	0.965042	1.45158
52	0.856824	7.79866	19.3379	0.856824	0.964105	1.47964
53	0.870206	7.67783	19.2651	0.870206	0.96317	1.50919
54	0.883427	7.56181	19.198	0.883427	0.962261	1.53881
55	0.902295	7.39697	19.1046	0.902295	0.960987	1.58276
56	0.915993	7.26871	19.028	0.915993	0.96008	1.6178
57	0.929382	7.14938	18.9611	0.929382	0.959206	1.65213
58	0.943071	7.02322	18.8888	0.943071	0.958327	1.68948
59	0.956565	6.90216	18.8222	0.956565	0.957474	1.727
60	0.970329	6.7745	18.7506	0.970329	0.956618	1.76782
61	0.983868	6.65231	18.6848	0.983868	0.955789	1.80877
62	0.997752	6.52154	18.6124	0.997752	0.954953	1.85399
63	1.01129	6.39898	18.548	1.01129	0.954151	1.8986
64	1.02526	6.26583	18.4755	1.02526	0.953337	1.94861
65	1.03885	6.14164	18.4114	1.03885	0.952559	1.9978
66	1.05282	6.00782	18.3402	1.05282	0.951771	2.05273
67	1.06658	5.87894	18.274	1.06658	0.951009	2.10839
68	1.08053	5.74488	18.2044	1.08053	0.950248	2.16881
69	1.0948	5.60274	18.1293	1.0948	0.949483	2.2358
70	1.10874	5.46827	18.0613	1.10874	0.948748	2.30292
71	1.12285	5.32937	17.9907	1.12285	0.948017	2.37577
72	1.1343	5.21447	17.9321	1.1343	0.947432	2.4389
73	1.14838	5.07552	17.8632	1.14838	0.946724	2.51948
74	1.16002	4.95579	17.8024	1.16002	0.946148	2.59224
75	1.17404	4.81705	17.7353	1.17404	0.945463	2.68178
76	1.18591	4.69106	17.6713	1.18591	0.944893	2.76702
77	1.19804	4.55845	17.6033	1.19804	0.944317	2.86167
78	1.2124	4.40946	17.5311	1.2124	0.943645	2.97581
79	1.22416	4.28464	17.4703	1.22416	0.943103	3.07743
80	1.23597	4.15834	17.4092	1.23597	0.942566	3.18656
81	1.24766	4.0343	17.3503	1.24766	0.942041	3.3007
82	1.2596	3.90374	17.2876	1.2596	0.941512	3.42846
83	1.27118	3.78092	17.2307	1.27118	0.941006	3.55728
84	1.28319	3.64689	17.1669	1.28319	0.940487	3.70728
85	1.29475	3.52328	17.1108	1.29475	0.939995	3.8565
86	1.30667	3.38965	17.0485	1.30667	0.939493	4.02958
87	1.31888	3.24835	16.9819	1.31888	0.938985	4.22786
88	1.33057	3.11869	16.9236	1.33057	0.938505	4.42649
89	1.34248	2.98248	16.8616	1.34248	0.938022	4.65353
90	1.35424	2.8489	16.8019	1.35424	0.937551	4.89768
91	1.36478	2.72701	16.7474	1.36478	0.937134	5.14131
92	1.37668	2.58776	16.6853	1.37668	0.936668	5.44776
93	1.38702	2.46886	16.6337	1.38702	0.936267	5.73739
94	1.39777	2.33913	16.5758	1.39777	0.935855	6.08629
95	1.4081	2.2183	16.5239	1.4081	0.935463	6.44888
96	1.41862	2.09144	16.4687	1.41862	0.935068	6.87434
97	1.42914	1.96339	16.4133	1.42914	0.934677	7.35964
98	1.44046	1.82917	16.3571	1.44046	0.934259	7.94237
99	1.45048	1.70285	16.3023	1.45048	0.933894	8.57357
100	1.46055	1.58125	16.2519	1.46055	0.93353	9.27792
101	1.47084	1.45269	16.1978	1.47084	0.933161	10.1502
102	1.48111	1.32276	16.1433	1.48111	0.932796	11.2043
103	1.4905	1.2059	16.0955	1.4905	0.932465	12.3472
104	1.5007	1.0739	16.0405	1.5007	0.932108	13.9367
105	1.50999	0.956085	15.9927	1.50999	0.931786	15.7272
106	1.51932	0.835248	15.9434	1.51932	0.931465	18.0882
107	1.52878	0.709087	15.8915	1.52878	0.931141	21.4111
108	1.53812	0.590338	15.8448	1.53812	0.930824	25.8403
109	1.54729	0.4674	15.7951	1.54729	0.930514	32.7935
110	1.55627	0.346867	15.7469	1.55627	0.930213	44.3976
111	1.5647	0.23501	15.703	1.5647	0.929932	65.8184
112	1.57356	0.112689	15.6541	1.57356	0.929638	137.915
113	1.58246	-0.0131265	15.6036	1.58246	0.929344	1189.71
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.235315	9.81124	29.6125	0.235315	1.05451	2.01822
2	0.278198	9.52945	29.1226	0.278198	1.05583	2.05606
3	0.326646	9.17495	28.5681	0.326646	1.05757	2.11371
4	0.380822	8.7478	27.964	0.380822	1.05981	2.19669
5	0.44078	8.24989	27.3257	0.44078	1.0626	2.31226
6	0.506488	7.6835	26.6671	0.506488	1.06602	2.4707
7	0.577867	7.04989	25.9988	0.577867	1.07012	2.68783
8	0.654843	6.34788	25.3268	0.654843	1.07496	2.9898
9	0.737386	5.57287	24.6538	0.737386	1.08059	3.4239
10	0.825241	4.72561	23.9873	0.825241	1.08704	4.07602
11	0.910955	4.00833	23.4859	0.910955	1.09381	4.85926
12	0.998092	3.27346	23.0142	0.998092	1.10121	6.03055
13	1.06107	2.71572	22.6784	1.06107	1.10687	7.3508
14	1.12516	2.13202	22.346	1.12516	1.11286	9.48117
15	1.19023	1.5183	22.0153	1.19023	1.11918	13.4999
16	1.25603	0.87556	21.6877	1.25603	1.12579	23.7701
17	1.30972	0.323964	21.4195	1.30972	1.13133	65.1169
18	1.36428	-0.2592	21.1483	1.36428	1.13708	82.5907
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.183657	13.5916	23.9293	0.183657	1.03168	0.760591
2	0.217647	13.3675	23.7557	0.217647	1.02711	0.777126
3	0.256326	13.0823	23.5098	0.256326	1.02212	0.797067
4	0.299893	12.7361	23.1975	0.299893	1.01672	0.821393
5	0.348446	12.3309	22.8286	0.348446	1.01098	0.851337
6	0.401984	11.8698	22.4144	0.401984	1.00495	0.888363
7	0.460426	11.356	21.966	0.460426	0.998713	0.9343
8	0.52365	10.7919	21.4923	0.52365	0.992342	0.991526
9	0.591532	10.1776	20.9996	0.591532	0.985915	1.06331
10	0.663975	9.51088	20.4904	0.663975	0.979496	1.15441
11	0.740699	8.79361	19.9724	0.740699	0.97316	1.27124
